stu_ID,Name,Email,Phone,Company,Joining_Date,Fake_Aadhaar,Salary
9968,Chakradev Ramaswamy,branganathan@example.com,04477010097,"Rastogi, Subramaniam and Wadhwa",2025-11-22,312308016415,115065
1820,Mugdha Rai,farhan16@example.com,8843479485,Rama Inc,2023-07-16,635066624786,61209
4034,Qadim Das,shaurya01@example.org,+912737458392,Sankar LLC,2026-04-11,492773963476,152736
9534,Harini Dua,aptelavanya@example.net,9775148260,Butala-Minhas,2023-12-19,491563250995,41084
7125,Chameli Butala,wthakur@example.net,+911473071990,Kurian-Ganguly,2025-11-15,283424207024,196147
6077,Qarin Bassi,inagi@example.org,+916969680766,"Hayre, Bhatt and Bhatia",2023-09-12,814868760058,96107
2257,Aarna Tandon,jananibhavsar@example.com,+918522216661,"Mitter, Krishnan and Kamdar",2026-02-05,745261573551,61481
7557,Damini Narain,mitrarajata@example.net,8070188942,Wadhwa PLC,2025-09-12,067032255449,50216
6207,Indali Setty,chadafitan@example.org,0266266129,Mukherjee PLC,2026-05-22,519316201423,114698
1088,Theodore Walla,hchowdhury@example.org,08477157114,"Singhal, Khosla and Dua",2025-02-21,658398667054,133222
8860,Liam Bhagat,naveenlal@example.com,06915681091,"Yohannan, Srivastava and Choudhary",2026-05-14,370935907409,110190
3799,Chakradev Keer,parikhzaid@example.org,00585445097,"Sahota, Kar and Atwal",2026-02-25,582616852764,57109
6336,Vyanjana Patil,nigampavani@example.net,6197304461,Pandya LLC,2023-08-27,399100571894,29168
2734,Yashawini Sane,bbiswas@example.com,06453001320,"Verma, Sampath and Sekhon",2026-03-05,391329406437,95985
3256,Harish Memon,qchanda@example.org,6539452670,Kara LLC,2025-04-14,474133827827,91751
9203,Jonathan Chopra,farasgarde@example.net,2056835510,"Vig, Chana and Pathak",2026-04-28,021049883383,78074
3304,Krishna Morar,kaurlakshit@example.org,08321813164,Garg LLC,2023-12-07,015845488171,186346
6164,Robert Kale,paigautam@example.com,+913317341141,Karan-Jayaraman,2024-05-18,734884213561,48094
2383,Anusha Dyal,davidnarang@example.org,8186020064,Shukla-Nagar,2023-10-08,625213884970,131509
6770,Isha Bedi,ssamra@example.org,02074856076,"Garde, Mody and Seshadri",2023-07-29,067423670020,194970
3321,Ayushman Nagar,balendra75@example.com,1524556841,Kanda Inc,2025-09-14,465362542273,78881
7956,Anamika Atwal,ldar@example.net,06300660426,"Narasimhan, Padmanabhan and Loyal",2023-12-26,003391358402,81546
5021,Aadhya Dugar,qbalakrishnan@example.com,05923473818,Madan-Balakrishnan,2024-11-02,126946059205,81270
1832,Oviya Barad,nagarqabil@example.org,02150721885,Krishnamurthy PLC,2024-02-13,550447221449,174496
6743,Falak Khurana,advay62@example.net,0883955957,"Dixit, Ramakrishnan and Mane",2023-08-02,337295006259,54958
1530,Lakshmi Das,bgandhi@example.com,+919713575963,Sama LLC,2025-09-11,867045652300,159684
4122,Manya Ahuja,omitra@example.org,+917511015667,"Kapadia, Brahmbhatt and Atwal",2025-01-07,339855726360,119700
6641,Balendra Loke,ysahota@example.org,+919993996312,Anand-Mammen,2025-07-12,200999120007,132911
8747,Banjeet Som,sathvik86@example.org,+911158177843,Khatri Ltd,2024-09-07,706142486722,97579
1974,Ishaan Kar,semjanani@example.org,02770278255,Keer LLC,2025-07-21,518980815646,193638
1815,Lohit Deshpande,zayansethi@example.net,7927383237,Sarma-Sastry,2026-01-16,762782102815,180722
3221,Rajeshri Pall,brai@example.org,+918100911624,Rama Inc,2024-09-25,952990164457,119192
3305,Alka Merchant,golaandrew@example.net,+914974731789,Gulati Inc,2024-09-16,891510716031,113275
6299,Charita Bali,mnori@example.net,0647250045,"Char, Sood and Tripathi",2026-04-11,153485608004,90056
7138,Nidra Kibe,gaurangisavant@example.org,2102283403,"Dixit, Ram and Kari",2025-11-22,746046996317,83462
8113,Chakradhar Bhatnagar,palladamini@example.org,+914388116498,"Shere, Banik and Parmar",2024-11-09,221920987302,114580
2984,Qarin Sami,raghav58@example.org,9534030414,"Pal, Nigam and Mahal",2023-09-20,255706586856,160403
2202,Barkha Misra,bavadhruv@example.com,7139609834,Patla-Dhaliwal,2024-01-02,221224780612,42197
8593,Rachit Tata,yatintiwari@example.org,+911420051086,Bir PLC,2024-11-05,653619215030,103338
6834,Aarnav Munshi,achoudhry@example.net,1462790955,"Patla, Sangha and Mallick",2023-09-30,550007406661,40307
5176,Gabriel Wali,ekansh06@example.net,+913559653103,"Buch, Bobal and Atwal",2024-06-05,050274171190,73955
2717,Ekapad Aggarwal,kaleisha@example.net,9896570332,Keer Group,2024-09-10,078517855965,48576
2721,Vinaya Bakshi,wakeetasaxena@example.org,08279620582,Dugal LLC,2025-08-06,077655893802,138521
8317,Tarak Sachdeva,pgole@example.net,+916744641409,Raju PLC,2025-06-25,698958441152,191858
5190,Yashvi Bhargava,girik66@example.org,9005568509,Agrawal PLC,2025-04-17,953602782178,172621
1609,Jyoti Dugar,ojas76@example.com,04499425401,Patel LLC,2025-12-17,175992781476,191842
3511,Wriddhish Arora,berarajata@example.com,+910971268023,Bhardwaj PLC,2026-06-28,067066216117,110106
5174,Yuvraj Dyal,janaki62@example.com,1795424541,"Issac, Sibal and Narayanan",2025-12-16,526141080795,166664
1364,Janaki Tella,wahabsood@example.com,3753219857,"Morar, Manne and Amble",2023-10-19,733269746228,109597
7517,Omisha Bala,erao@example.org,+916599995551,Dugar Group,2026-04-12,398002494644,197856
9312,George Badal,sethinidhi@example.org,08686510623,Bains and Sons,2026-02-14,415759842289,191070
1573,Garima Saha,mannreyansh@example.com,9760654550,Kapur PLC,2024-10-14,926629275753,116994
8310,Zaid Nair,trivediharinakshi@example.org,5275522882,Banerjee-Date,2026-04-06,975050211239,33742
1646,Gagan Parmer,akshaymitra@example.com,04867145442,"Naidu, Karpe and Palla",2024-07-05,943390176939,167175
5994,Jacob Manne,lila19@example.com,+916240497856,Master PLC,2024-05-08,032262122039,172261
5757,Urvashi Garde,advaithwalia@example.org,02665686352,Aurora-Nori,2023-12-28,373662824434,67985
8634,Lohit D’Alia,virajjhaveri@example.net,03366089389,Chander-Mandal,2025-09-09,034967015054,181523
8755,Ekanta Narasimhan,wparsa@example.org,3074445049,Shanker PLC,2023-09-23,994268566154,172451
5138,Raagini Narasimhan,wchad@example.com,+919404685967,"Khurana, Barad and Aurora",2025-08-08,583775753515,49047
6267,Aradhana Doshi,wakeetamannan@example.com,+913189528012,Gill-Malhotra,2024-04-13,649015257720,193294
8002,Chakradev Tella,isidhu@example.com,0725485088,Balasubramanian and Sons,2023-12-24,329959825527,116107
6651,Ojasvi Vala,yauvani86@example.com,04536797741,Suri-Iyengar,2024-01-12,253792479738,125280
6039,Anusha Mohanty,batrajhalak@example.com,05264083299,Gara-Halder,2026-06-16,900627636071,141278
9641,Yadavi Vasa,doctorhenry@example.com,5558963849,Sankaran Ltd,2024-12-02,394302096863,123283
9017,Triveni Srinivasan,dharchameli@example.net,+914622413096,Anne-Sarma,2023-07-17,205477755082,198486
5800,Fariq Bose,balitripti@example.org,02800129816,"Oak, Kale and Gaba",2025-04-19,549993356376,98009
7831,Ikbal Deol,wrideshwalia@example.org,3216505483,"Bhatia, Kala and Gera",2025-07-04,058402831278,76744
4619,Pranav Krishnamurthy,zsaraf@example.com,6746678637,"Bhargava, Mital and Nori",2023-08-08,846852750622,33161
6807,Onveer Dalal,tripti90@example.net,03710856027,Sathe Group,2023-07-15,220959086629,91939
5713,Michael Bali,qvasa@example.net,03093266789,"Bal, Gole and Sharaf",2026-06-10,950673025188,78427
7474,Jasmit Dey,oviyarana@example.net,02349925381,"Bhatt, Raju and Chad",2024-07-14,489633448879,95217
7336,Turvi Pandit,karanramanathan@example.com,9868412206,"Banik, Chaudhari and Kala",2025-07-29,803949106970,112628
7528,Lavanya Dada,cprashad@example.net,03965038003,Datta Ltd,2025-06-01,908871219073,162816
5725,Upma Bhavsar,asrinivas@example.org,9679880092,Acharya-Sibal,2025-01-18,880037824387,159861
8293,Anika Mody,hdhingra@example.com,+916445032400,Savant Inc,2026-05-01,345139541858,120123
7741,Advik Luthra,gulatipriya@example.com,02177117052,De and Sons,2025-09-14,008123068928,36304
9651,Anirudh Bose,nirja96@example.com,+918936479351,Sarin Inc,2023-12-30,930900051492,66775
6876,Dhriti Chacko,dharvyanjana@example.org,02362303393,"Din, Jain and Kala",2025-08-18,204695529163,146025
7664,Omaja Chaudhuri,hayrefinn@example.org,03373910949,"Agrawal, Sant and Suresh",2025-01-31,193504240006,161572
1607,Falan Biswas,patrick31@example.com,7289278247,Rastogi-Merchant,2025-10-29,267117493897,27359
9976,Ayushman Nagar,nigamfalguni@example.net,04466275656,Tak Ltd,2025-11-06,990163637917,99680
1413,Damyanti Sule,sureshvamakshi@example.net,+918113320113,"Edwin, Acharya and Amble",2026-02-24,498946401835,81814
5961,Rajeshri Mody,bobaladvay@example.org,3162269721,Pradhan Ltd,2024-01-30,142361451564,60983
1101,Xavier Rama,oommenfalguni@example.com,06278842659,"Ramanathan, Peri and Mistry",2024-07-10,895327459907,152305
9921,Nimrat Sheth,ayaan12@example.net,0210329399,Sani Inc,2026-06-28,401081880648,86380
3905,Niharika Khalsa,anthony96@example.net,02600409195,Kala LLC,2024-10-15,915743880359,38926
4963,Amrita Taneja,wyattpanchal@example.org,+917517577481,"Halder, Khurana and Dhawan",2024-09-11,989837372418,164559
1724,Aashi Mandal,charlesbrahmbhatt@example.net,+917788266341,Hegde PLC,2025-06-01,200528738455,134643
2123,Aradhana Radhakrishnan,schadha@example.org,+915358267174,"Sawhney, Goel and Shankar",2025-05-18,155574309563,89873
7366,Ekalinga Pau,balveer26@example.net,1622662271,Shukla-Chauhan,2025-10-25,606067132782,106770
1509,Saanvi Ratta,ubhardwaj@example.net,06731354108,"Dey, Pathak and Dhaliwal",2023-09-23,000428980834,130122
4196,Garima Krishna,nmurthy@example.net,07084489218,Master-Suri,2026-01-20,304665885204,159495
2110,Chatresh Badami,rushilchad@example.org,04624887605,Murthy-Kothari,2025-01-21,506878300603,68915
4572,Karan Kashyap,valafinn@example.net,+919003839996,Lad LLC,2024-09-14,000895932165,80062
9318,Madhavi Babu,yadaviatwal@example.net,+919540945485,"Gole, D’Alia and Kara",2023-07-26,759917411784,194785
5571,Sneha Bhargava,ibhandari@example.org,7716352883,Banik Ltd,2023-11-12,274295532731,188936
7913,Indrajit Balan,utkarsh39@example.net,5023506097,Bhargava-Khurana,2023-11-17,246231716132,68837
7487,Madhav Chopra,damyantisolanki@example.com,06241510629,Parekh-Maharaj,2025-08-22,790587410727,97607
1152,Isaac Sehgal,behlvrinda@example.org,05001326458,"Bhatnagar, Nath and Nadkarni",2025-01-20,736099862994,168063
7576,Rushil Sharaf,menonfaras@example.org,+919490384550,Gopal-Dhawan,2024-11-12,671758338434,178282
1073,Laksh Palla,chandanigopal@example.com,07675153728,Khatri LLC,2025-05-26,339989606531,125477
3909,Urvashi Grover,zachariahlopa@example.org,8300295481,Tandon Group,2024-08-20,314428872685,38469
8706,Upasna D’Alia,chaudrymitali@example.com,1833779577,Bava Group,2025-03-14,614833197381,192905
5055,Faqid Krishnan,anamika21@example.com,3061598502,"Tiwari, Walla and Raja",2026-03-15,015762754553,75893
5509,Naveen Ramanathan,onkarshankar@example.com,01528528972,"Gola, Ravi and Mistry",2023-08-10,888899989774,84538
2258,Shivansh Rajagopalan,krish03@example.net,03419072453,"Palla, Sandhu and Mann",2023-07-13,405955544761,198435
6893,Dakshesh Om,libnigera@example.com,02916343800,Gulati Inc,2025-02-03,468007582917,146794
2100,Ridhi Kala,madanjanya@example.net,+910107558115,Naik Group,2024-12-17,010390072209,41609
2490,Ganga Bhatti,vrishtikaran@example.com,+913293861392,Pai-Gill,2025-06-26,218656054896,186983
5851,Jyoti Banerjee,vedant35@example.org,09428999777,Pandya Group,2024-08-03,598079075345,86861
5226,Balvan Bajwa,ravelvivaan@example.com,3720956366,"Sani, Krish and Dara",2023-11-30,747375516253,78903
6660,Vaishnavi Bhagat,ekansh35@example.com,06781756831,Shroff-Sahni,2025-11-06,813074095150,175768
8959,Yatan Bal,sahnibalhaar@example.com,+916611246228,Bora-Basak,2026-02-06,499618593625,128730
2416,Vedant Sen,anandfariq@example.net,7357736018,Ratti-Handa,2023-07-29,534682167232,170632
6504,Wyatt Kade,eseth@example.com,+913819712241,Guha-Wali,2023-10-14,888409048768,44794
9987,Sai Bail,manddominic@example.org,03180550874,Batta PLC,2025-03-31,470579448693,174808
1841,Anya Thaman,azad34@example.org,6409089485,"Deshpande, Bumb and Maharaj",2026-01-09,506868826345,103691
9090,Aarna Dubey,balasubramanianwatika@example.org,6126272981,"Savant, Deo and Bhalla",2025-09-13,578590290788,122051
3043,Devansh Shan,ayohannan@example.org,9225890031,Bahl LLC,2025-05-27,399183918088,75075
3888,Naveen Nagarajan,agarwalharish@example.com,02906750079,"Kannan, Sami and Dhillon",2024-05-29,645947257224,172800
3928,Mahika Manda,behlsudiksha@example.net,05340157081,Dugar-Rastogi,2023-11-27,319232824361,195297
1864,Nilima Sethi,zgoel@example.com,09199120860,Kalla LLC,2025-02-20,621396406367,56117
3853,Ijaya Nath,triyachahal@example.org,+911312508161,"Venkataraman, Pillai and Vora",2024-11-17,501802125272,196545
1201,Nilima Wali,avi90@example.com,+911086271242,Lalla-Bajwa,2026-02-10,535930570916,149160
3123,Eesha Contractor,ybhalla@example.org,+912722304231,Lad and Sons,2026-06-05,361114120624,116315
4817,Om Thakkar,rachitakanda@example.com,01008976773,Borde-Bava,2023-08-29,193232893366,162441
9075,Ekta Iyengar,tbalakrishnan@example.org,+916239504663,Dass-Maharaj,2026-05-15,894278486591,68964
6303,Karan Dua,ajhaveri@example.com,+918231728335,"Sanghvi, Srivastava and Pant",2023-09-16,293516129457,45759
8974,Darpan Jhaveri,tanviganesan@example.org,+914241980271,"Lad, Dara and Lall",2024-05-23,296562681870,190043
2782,Champak Seshadri,omalhotra@example.com,+917962304136,"Madan, Mand and Golla",2025-09-10,997671884003,191121
6491,Rudra Koshy,mbath@example.com,3748071775,"Kara, Tailor and Mallick",2025-12-12,600385809633,90851
8876,Raksha Savant,parya@example.org,04225324903,Lalla-Keer,2024-10-27,391647982416,125642
7427,Champak Upadhyay,norihemangini@example.org,+918916587452,Sekhon and Sons,2024-09-30,332201972515,57207
2348,Anjali Vig,gaurangi93@example.org,+912851327381,Borde-Sabharwal,2024-12-26,239672713268,77185
7478,Jyoti Bajaj,lwadhwa@example.org,1455945880,"Wali, Tailor and Krishna",2023-12-08,328708194520,37894
9228,Megha Palla,leelaramakrishnan@example.net,01285165039,"Dhar, Jhaveri and Patel",2024-06-09,590039163821,106297
6698,Harish Shanker,zashil37@example.com,6287661596,Patla Group,2025-10-18,399528295795,178064
6000,Nisha Rana,abdulmalhotra@example.net,+916086664928,"Dewan, Lala and Singhal",2025-01-04,180040479412,83216
4891,Yash Loyal,nbera@example.net,+916788966330,Sinha-Anne,2025-03-25,856320042159,151393
4759,Vrishti Mistry,lukebhakta@example.org,+914473745698,"Mittal, Das and Khare",2023-09-04,850052836012,85429
5041,Advika Sengupta,fbrahmbhatt@example.net,0326739389,Menon-Raval,2025-03-14,173699585533,136298
4499,Kamya Shetty,tarajairaj@example.net,04158582239,Das-Sundaram,2025-10-19,485712795631,32659
8995,Netra Ray,frederick33@example.com,05875648999,Memon Inc,2025-08-20,265381431398,87281
4581,Mohini Dutt,yaminilala@example.com,+910513571828,"Guha, Zacharia and Golla",2023-08-30,026492956063,64297
1754,Sathvik Nadkarni,dthaman@example.net,+911451678527,Kari-Kaul,2025-07-22,596969501217,191162
6658,Jackson Pradhan,samarth74@example.net,+913885463942,Jaggi LLC,2025-06-28,347985008876,198782
3189,Sanya Boase,handaarjun@example.com,05474015566,Chopra PLC,2024-05-10,378415690184,174299
9112,Aryan Dhingra,tanmayinagy@example.net,05956327210,Narayanan Inc,2025-09-23,529159785884,71189
5957,Faris Shroff,janya33@example.com,+915323345233,Golla-Mohanty,2025-01-19,809734957429,119629
9558,Mohammed Malhotra,sarkarzinal@example.org,02128680595,Mittal-Kothari,2025-05-20,887054424827,147488
8191,Upkaar Palan,chaudhrychavvi@example.com,03545452701,Golla-Dada,2023-08-22,388349267927,103606
5049,Lipika Tripathi,zashil98@example.org,0850152115,Garde and Sons,2025-07-03,392713100526,154535
3242,Vasudha Dhingra,zgokhale@example.org,03339018040,Agarwal Inc,2024-11-09,239630625014,198195
5298,Samuel Bahri,igokhale@example.net,+919111056459,"Narang, Nayar and Oak",2024-10-25,665673834524,166008
8795,Umang Warrior,henry25@example.org,8278590019,Pradhan-Khanna,2024-12-08,927289349867,68351
1732,Niharika Varughese,falanloyal@example.com,07880005836,"Andra, Bedi and Bandi",2024-07-10,963885814783,161817
1371,Omaja Nath,eshana88@example.net,4713041932,Acharya PLC,2025-02-15,219242402346,81073
8680,Janya Bir,mohantydevika@example.org,04378321421,"Dhaliwal, Chad and Nori",2026-04-04,403219136928,88328
3509,Chandran Bedi,narulajanaki@example.net,0376477561,Khare-Bora,2024-10-13,056552502148,128364
9332,Harshil Aggarwal,falanmutti@example.com,+912797724551,Tiwari Group,2024-12-28,147245095172,122690
4756,Kiaan Agrawal,crege@example.com,6150195011,Ray and Sons,2025-12-23,961548359802,188216
7059,Neha Bhandari,ncheema@example.com,02134350209,Agarwal Ltd,2025-11-24,065911697771,42712
8974,Wriddhish Chhabra,jradhakrishnan@example.net,07723533085,Iyengar-Dora,2024-11-07,985543710511,177722
7297,Oliver Chakraborty,zaidsankaran@example.com,4511113707,"Tella, Sankar and Chandran",2025-01-03,782388101258,184686
6063,Kavya Ahluwalia,darikabansal@example.net,02590113394,Saran-Ganguly,2024-12-27,446181185778,157968
6829,Alka Modi,mguha@example.net,+914847342453,Mohanty PLC,2024-07-07,329607138178,152821
8304,Aashi Gade,triyaminhas@example.net,3794945328,Mukhopadhyay-Oommen,2024-11-08,891318259110,185328
5006,Falguni Nagar,vgour@example.org,1347662734,Madan-Deo,2026-01-13,772814954896,184967
4421,Mohini Sawhney,talwarria@example.com,5321883778,Shukla Ltd,2024-08-17,900400186081,120811
7471,Jeet Shukla,harshil37@example.com,+915575313521,Iyer LLC,2025-04-23,036272651996,98661
4437,Damyanti Yohannan,vanyaom@example.com,+912957653009,Parekh LLC,2023-11-23,063412848985,131262
3431,Kai Bedi,ishwarvarughese@example.net,04881552296,Bains Ltd,2025-11-24,065286772970,75180
3323,Wahab Varughese,theodoremunshi@example.net,5011746871,Prasad LLC,2026-06-06,887632986653,120893
3472,Gopal Sachdeva,akarpe@example.org,+917871807999,"Sagar, Bhardwaj and Gopal",2024-01-12,294679630073,186166
7999,Chavvi Subramanian,npai@example.net,9273084836,Wali and Sons,2023-07-13,319936317056,192784
5606,Parth Kari,noah85@example.net,0857304527,Suri-Luthra,2026-04-18,903207675371,109474
2046,Ranveer Puri,venkataramancaleb@example.net,08290111088,Doctor PLC,2024-09-05,134320372927,123688
3105,Nidhi Rao,harita87@example.org,+919864473078,"Natt, Menon and Pillay",2023-10-16,955164526648,140262
9243,Raagini Madan,naiduira@example.net,02452506633,Zacharia Ltd,2025-08-07,989896006951,93704
6012,Abhimanyu Amble,dewanbalvan@example.com,+910925991400,Raghavan-Reddy,2025-05-21,889635969095,129751
5582,Sai Korpal,onkarkrishna@example.com,0137102430,"Tara, Vig and Chaudhuri",2024-07-14,047872023793,116440
3582,Rachit Manne,zashilsodhi@example.org,09103580467,Garg and Sons,2025-06-21,607303973536,89331
6839,Pahal Swamy,elijah47@example.com,03414072994,"Krishnan, Jaggi and Balay",2024-08-16,784774671098,129179
1182,Avni Mallick,rushil83@example.org,+911401787331,"Hari, Ahuja and Oak",2024-01-02,391020277977,135073
5555,Yatan Bandi,upasna35@example.org,00240827713,Loyal-Buch,2024-07-04,171838721575,47978
7066,Harshil Dara,sanya11@example.com,07923233538,Sura-Srinivas,2024-08-01,170589917684,186260
4429,Vaishnavi Ramesh,lekha19@example.com,3812712457,Apte-Thakkar,2025-04-21,866641029738,57662
3772,Yadavi Ramachandran,nsood@example.net,+912669632987,Rajagopal PLC,2023-12-28,944842633572,189467
3463,Bishakha Jain,aradhanasule@example.net,+910363334924,Venkatesh-Mammen,2025-09-30,214685854398,38661
5861,Tarak Gala,teerthatwal@example.org,+910880636578,Nigam-Memon,2024-09-16,572979076694,37660
8926,Tanay Dani,iparekh@example.org,3194113536,"Bhakta, Dyal and Prashad",2026-03-11,534143745458,30086
6001,Daksh Bera,dipta34@example.com,+914845633988,Rajan LLC,2025-06-02,659385261560,118337
2057,Dominic Sarkar,jonathan80@example.com,06059942054,Kapoor Inc,2023-12-25,319616942459,184125
8638,Rehaan Bansal,hiralbatta@example.org,03677579180,Mahal PLC,2024-05-09,334627218448,40750
9380,Upma Gandhi,mbail@example.com,+918341704105,Sur-Nadkarni,2026-01-24,925526006642,196964
